x_T,y_T,d_T,FaceA_T,FaceP_T,x_A,y_A,d_A,FaceT_A,FaceP_A,x_P,y_P,d_P,FaceT_P,FaceA_P,mutualGaze_TA,mutualGaze_TP,mutualGaze_AP,jointGazeT_AP,jointGazeA_TP,jointGazeP_TA,jointGazeTsp_AP,jointGazeAsp_TP,jointGazePsp_TA,sp_T,sp_A,sp_P
554.25,387.0,675.9900549280605,0.0,0.0,-524.0,395.0,656.2063234698809,1.0,0.0,483.75,342.0,592.4488001390879,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0
526.0,357.0,635.7088245303462,0.0,0.0,-511.5,367.5,629.83342378552,1.0,0.0,522.25,322.0,613.5394136475313,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
589.0,436.25,732.9708906939632,0.0,0.0,-511.0,367.0,629.1343258796169,1.0,0.0,531.25,319.0,619.6676339629328,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
496.0,330.0,595.7530477731366,0.0,0.0,-511.0,366.0,628.5515094246454,1.0,0.0,532.25,318.5,620.268186527007,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
463.5,329.5,568.7378912586079,0.0,0.0,-510.5,365.5,627.8542718386694,1.0,0.0,532.25,320.25,621.1690693342405,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
568.0648148148148,360.6296296296296,672.9417779502752,0.0,0.0,-512.0,364.5,628.4937676001045,1.0,0.0,486.0,332.0,588.5792260681922,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
562.3240740740741,351.14814814814815,663.3040700325689,0.0,0.0,-512.0,363.25,627.7696131256182,1.0,0.0,505.25,334.25,605.923487519021,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
556.5833333333333,341.6666666666667,653.6663621148625,0.0,0.0,-512.0,362.5,627.3359678235806,1.0,0.0,525.0,338.25,624.535487166401,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
550.8425925925926,332.1851851851852,644.0286541971562,0.0,0.0,-513.0,363.25,628.5855217054102,1.0,0.0,520.5,339.0,621.1672899058779,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
545.1018518518518,322.7037037037037,634.39094627945,0.0,0.0,-513.25,364.0,629.2232256678928,1.0,0.0,515.0,342.5,618.4912475820063,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
