Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Assisted mapping gaze point X [Screenshot A.jpeg],Assisted mapping gaze point Y [Screenshot A.jpeg],Assisted mapping gaze point X [Screenshot P.jpeg],Assisted mapping gaze point Y [Screenshot P.jpeg],Assisted mapping gaze point X [Screenshot T.jpeg],Assisted mapping gaze point Y [Screenshot T.jpeg],Manually mapped gaze point X [Screenshot A.jpeg],Manually mapped gaze point Y [Screenshot A.jpeg],Manually mapped gaze point X [Screenshot P.jpeg],Manually mapped gaze point Y [Screenshot P.jpeg],Manually mapped gaze point X [Screenshot T.jpeg],Manually mapped gaze point Y [Screenshot T.jpeg],Mapped gaze point X [Screenshot A.jpeg],Mapped gaze point Y [Screenshot A.jpeg],Mapped gaze point X [Screenshot P.jpeg],Mapped gaze point Y [Screenshot P.jpeg],Mapped gaze point X [Screenshot T.jpeg],Mapped gaze point Y [Screenshot T.jpeg],Assisted mapping gaze point score[Screenshot A.jpeg],Assisted mapping gaze point score[Screenshot P.jpeg],Assisted mapping gaze point score[Screenshot T.jpeg],Recording media name,Recording media width,Recording media height,Width [Screenshot A.jpeg],Height [Screenshot A.jpeg],Width [Screenshot P.jpeg],Height [Screenshot P.jpeg],Width [Screenshot T.jpeg],Height [Screenshot T.jpeg],Mapped eye movement type [Screenshot A.jpeg],Mapped eye movement type [Screenshot P.jpeg],Mapped eye movement type [Screenshot T.jpeg],Mapped eye movement type index [Screenshot A.jpeg],Mapped eye movement type index [Screenshot P.jpeg],Mapped eye movement type index [Screenshot T.jpeg],Mapped fixation X [Screenshot A.jpeg],Mapped fixation Y [Screenshot A.jpeg],Mapped fixation X [Screenshot P.jpeg],Mapped fixation Y [Screenshot P.jpeg],Mapped fixation X [Screenshot T.jpeg],Mapped fixation Y [Screenshot T.jpeg],Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,FACES,Ungrouped,AOI hit [Screenshot P.jpeg - Face A-P],AOI hit [Screenshot T.jpeg - Face A-T],AOI hit [Screenshot A.jpeg - Face P-A],AOI hit [Screenshot T.jpeg - Face P-T],AOI hit [Screenshot A.jpeg - Face T-A],AOI hit [Screenshot P.jpeg - Face T-P],aruco_IDs,aruco_Corners,true_Corners,marker_X,marker_Y,obj_Gaze_X,obj_Gaze_Y,Euclidian_distances
0,0,,Pilot 4,22-Nov-23,P,20231107T115159Z (2),07-Nov-23,07-Nov-23,12:51:58.722,11:51:58.722,421920,Tobii I-VT (Attention),RecordingStart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,1585,889,1581,895,1582,889,,,,,,,,,,,,,,,,,,,,,,,,,,[[4]],"(array([[[1041.,  801.],
        [1153.,  806.],
        [1149.,  913.],
        [1039.,  907.]]], dtype=float32),)","[[[[1041.  801.]
   [1153.  806.]
   [1149.  913.]
   [1039.  907.]]]]",1095.0,857.0,,,
142,142,,Pilot 4,22-Nov-23,P,20231107T115159Z (2),07-Nov-23,07-Nov-23,12:51:58.722,11:51:58.722,421920,Tobii I-VT (Attention),Screenshot P.jpeg IntervalStart,,,,,,,,,,,,,,,,,,,,,,,,,,415.0,442.0,,,,,395.0,442.0,,,,,395.0,442.0,,,,0.9,,scenevideo.mp4,1920,1080,1585,889,1581,895,1582,889,,Fixation,,,1.0,,,,395.0,442.0,,,Fixation,3690.0,1.0,579.0,514.0,Face T,,0.0,,,,,1.0,[[4]],"(array([[[1041.,  800.],
        [1153.,  805.],
        [1149.,  912.],
        [1039.,  905.]]], dtype=float32),)","[[[[1041.  800.]
   [1153.  805.]
   [1149.  912.]
   [1039.  905.]]]]",1095.0,856.0,,,
152,152,Eye Tracker,Pilot 4,22-Nov-23,P,20231107T115159Z (2),07-Nov-23,07-Nov-23,12:51:58.722,11:51:58.722,421920,Tobii I-VT (Attention),,,604.0,514.0,1087.7249,72.3197,2778.6426,0.35118,0.02945,0.93584,,,,34.18,-16.04,-28.89,,,,4.333,,4.333,Valid,Invalid,,,415.0,442.0,,,,,395.0,442.0,,,,,395.0,442.0,,,,0.9,,scenevideo.mp4,1920,1080,1585,889,1581,895,1582,889,,Fixation,,,1.0,,,,395.0,442.0,,,Fixation,3690.0,1.0,579.0,514.0,Face T,,0.0,,,,,1.0,[[4]],"(array([[[1041.,  800.],
        [1153.,  805.],
        [1149.,  912.],
        [1039.,  905.]]], dtype=float32),)","[[[[1041.  800.]
   [1153.  805.]
   [1149.  912.]
   [1039.  905.]]]]",1095.0,856.0,-491.0,342.0,598.3686154871426
172,172,Eye Tracker,Pilot 4,22-Nov-23,P,20231107T115159Z (2),07-Nov-23,07-Nov-23,12:51:58.722,11:51:58.722,421920,Tobii I-VT (Attention),,,619.0,514.0,1043.1804,74.6957,2784.2188,0.34803,0.03174,0.93695,0.34421,0.0291,0.93844,34.17,-16.03,-28.89,-24.52,-17.07,-28.84,4.324,3.875,4.099,Valid,Valid,,,430.0,438.0,,,,,395.0,442.0,,,,,395.0,442.0,,,,0.92,,scenevideo.mp4,1920,1080,1585,889,1581,895,1582,889,,Fixation,,,1.0,,,,395.0,442.0,,,Fixation,3690.0,1.0,579.0,514.0,Face T,,0.0,,,,,1.0,[[4]],"(array([[[1042.,  800.],
        [1153.,  805.],
        [1149.,  912.],
        [1039.,  905.]]], dtype=float32),)","[[[[1042.  800.]
   [1153.  805.]
   [1149.  912.]
   [1039.  905.]]]]",1095.5,856.0,-476.5,342.0,586.5289847910332
192,192,Eye Tracker,Pilot 4,22-Nov-23,P,20231107T115159Z (2),07-Nov-23,07-Nov-23,12:51:58.722,11:51:58.722,421920,Tobii I-VT (Attention),,,574.0,533.0,350.4605,3.277,825.3533,0.34711,0.024,0.93752,0.40132,0.01888,0.91574,34.16,-16.09,-28.88,-24.31,-16.86,-29.83,4.317,4.086,4.196,Valid,Valid,,,388.0,459.0,,,,,395.0,442.0,,,,,395.0,442.0,,,,0.9,,scenevideo.mp4,1920,1080,1585,889,1581,895,1582,889,,Fixation,,,1.0,,,,395.0,442.0,,,Fixation,3690.0,1.0,579.0,514.0,Face T,,0.0,,,,,1.0,[[4]],"(array([[[1042.,  800.],
        [1153.,  805.],
        [1149.,  912.],
        [1039.,  905.]]], dtype=float32),)","[[[[1042.  800.]
   [1153.  805.]
   [1149.  912.]
   [1039.  905.]]]]",1095.5,856.0,-521.5,323.0,613.4258308874839
214,214,Eye Tracker,Pilot 4,22-Nov-23,P,20231107T115159Z (2),07-Nov-23,07-Nov-23,12:51:58.722,11:51:58.722,421920,Tobii I-VT (Attention),,,572.0,536.0,343.4734,1.2237,806.1447,0.34728,0.02057,0.93754,0.40262,0.01878,0.91517,34.16,-16.14,-28.88,-24.3,-16.88,-29.84,4.317,4.074,4.201,Valid,Valid,,,387.0,459.0,,,,,395.0,442.0,,,,,395.0,442.0,,,,0.87,,scenevideo.mp4,1920,1080,1585,889,1581,895,1582,889,,Fixation,,,1.0,,,,395.0,442.0,,,Fixation,3690.0,1.0,579.0,514.0,Face T,,0.0,,,,,1.0,[[4]],"(array([[[1041.,  801.],
        [1153.,  805.],
        [1149.,  913.],
        [1039.,  905.]]], dtype=float32),)","[[[[1041.  801.]
   [1153.  805.]
   [1149.  913.]
   [1039.  905.]]]]",1095.0,857.0,-523.0,321.0,613.6529964075788
235,235,Eye Tracker,Pilot 4,22-Nov-23,P,20231107T115159Z (2),07-Nov-23,07-Nov-23,12:51:58.722,11:51:58.722,421920,Tobii I-VT (Attention),,,565.0,538.0,304.428,-0.8374,700.7784,0.34726,0.02092,0.93753,0.41016,0.01878,0.91182,34.15,-16.15,-28.88,-24.28,-16.86,-29.97,4.311,4.111,4.211,Valid,Valid,,,379.0,463.0,,,,,395.0,442.0,,,,,395.0,442.0,,,,0.85,,scenevideo.mp4,1920,1080,1585,889,1581,895,1582,889,,Fixation,,,1.0,,,,395.0,442.0,,,Fixation,3690.0,1.0,579.0,514.0,Face T,,0.0,,,,,1.0,[[4]],"(array([[[1041.,  801.],
        [1153.,  805.],
        [1149.,  913.],
        [1039.,  905.]]], dtype=float32),)","[[[[1041.  801.]
   [1153.  805.]
   [1149.  913.]
   [1039.  905.]]]]",1095.0,857.0,-530.0,319.0,618.5959909343093
256,256,Eye Tracker,Pilot 4,22-Nov-23,P,20231107T115159Z (2),07-Nov-23,07-Nov-23,12:51:58.722,11:51:58.722,421920,Tobii I-VT (Attention),,,564.0,538.0,305.1996,-1.277,700.4841,0.34827,0.01916,0.9372,,,,34.15,-16.19,-28.9,,,,4.299,,4.3,Valid,Invalid,,,379.0,466.0,,,,,395.0,442.0,,,,,395.0,442.0,,,,0.83,,scenevideo.mp4,1920,1080,1585,889,1581,895,1582,889,,Fixation,,,1.0,,,,395.0,442.0,,,Fixation,3690.0,1.0,579.0,514.0,Face T,,0.0,,,,,1.0,[[4]],"(array([[[1042.,  801.],
        [1153.,  806.],
        [1151.,  913.],
        [1040.,  907.]]], dtype=float32),)","[[[[1042.  801.]
   [1153.  806.]
   [1151.  913.]
   [1040.  907.]]]]",1096.5,857.0,-532.5,319.0,620.7392769915563
276,276,Eye Tracker,Pilot 4,22-Nov-23,P,20231107T115159Z (2),07-Nov-23,07-Nov-23,12:51:58.722,11:51:58.722,421920,Tobii I-VT (Attention),,,564.0,539.0,305.0721,-1.4509,700.5334,0.34811,0.01893,0.93726,,,,34.15,-16.19,-28.9,,,,4.3,,4.299,Valid,Invalid,,,379.0,466.0,,,,,395.0,442.0,,,,,395.0,442.0,,,,0.82,,scenevideo.mp4,1920,1080,1585,889,1581,895,1582,889,,Fixation,,,1.0,,,,395.0,442.0,,,Fixation,3690.0,1.0,579.0,514.0,Face T,,0.0,,,,,1.0,[[4]],"(array([[[1042.,  801.],
        [1153.,  806.],
        [1151.,  913.],
        [1040.,  907.]]], dtype=float32),)","[[[[1042.  801.]
   [1153.  806.]
   [1151.  913.]
   [1040.  907.]]]]",1096.5,857.0,-532.5,318.0,620.2259668862631
296,296,Eye Tracker,Pilot 4,22-Nov-23,P,20231107T115159Z (2),07-Nov-23,07-Nov-23,12:51:58.722,11:51:58.722,421920,Tobii I-VT (Attention),,,564.0,539.0,304.7931,-1.6151,700.6384,0.34775,0.01873,0.9374,,,,34.15,-16.19,-28.9,,,,4.291,,4.291,Valid,Invalid,,,380.0,465.0,,,,,395.0,442.0,,,,,395.0,442.0,,,,0.83,,scenevideo.mp4,1920,1080,1585,889,1581,895,1582,889,,Fixation,,,1.0,,,,395.0,442.0,,,Fixation,3690.0,1.0,579.0,514.0,Face T,,0.0,,,,,1.0,[[4]],"(array([[[1042.,  802.],
        [1153.,  806.],
        [1150.,  914.],
        [1040.,  908.]]], dtype=float32),)","[[[[1042.  802.]
   [1153.  806.]
   [1150.  914.]
   [1040.  908.]]]]",1096.0,858.0,-532.0,319.0,620.3104061677508
