Timestamps,aruco_IDs,aruco_Corners
0,[[4]],"(array([[[1041.,  801.],
        [1153.,  806.],
        [1149.,  913.],
        [1039.,  907.]]], dtype=float32),)"
40,[[4]],"(array([[[1041.,  801.],
        [1153.,  806.],
        [1150.,  912.],
        [1039.,  906.]]], dtype=float32),)"
80,[[4]],"(array([[[1042.,  800.],
        [1153.,  805.],
        [1149.,  912.],
        [1039.,  905.]]], dtype=float32),)"
120,[[4]],"(array([[[1041.,  800.],
        [1153.,  805.],
        [1149.,  912.],
        [1039.,  905.]]], dtype=float32),)"
160,[[4]],"(array([[[1041.,  800.],
        [1153.,  805.],
        [1149.,  912.],
        [1039.,  905.]]], dtype=float32),)"
200,[[4]],"(array([[[1042.,  800.],
        [1153.,  805.],
        [1149.,  912.],
        [1039.,  905.]]], dtype=float32),)"
240,[[4]],"(array([[[1041.,  801.],
        [1153.,  805.],
        [1149.,  913.],
        [1039.,  905.]]], dtype=float32),)"
280,[[4]],"(array([[[1042.,  801.],
        [1153.,  806.],
        [1151.,  913.],
        [1040.,  907.]]], dtype=float32),)"
320,[[4]],"(array([[[1042.,  802.],
        [1153.,  806.],
        [1150.,  914.],
        [1040.,  908.]]], dtype=float32),)"
360,[[4]],"(array([[[1041.,  803.],
        [1153.,  807.],
        [1150.,  914.],
        [1040.,  908.]]], dtype=float32),)"
400,[[4]],"(array([[[1042.,  803.],
        [1154.,  808.],
        [1151.,  914.],
        [1040.,  908.]]], dtype=float32),)"
440,[[4]],"(array([[[1042.,  803.],
        [1154.,  808.],
        [1150.,  915.],
        [1040.,  907.]]], dtype=float32),)"
480,[[4]],"(array([[[1042.,  803.],
        [1154.,  808.],
        [1150.,  915.],
        [1040.,  908.]]], dtype=float32),)"
520,[[4]],"(array([[[1042.,  803.],
        [1154.,  808.],
        [1150.,  915.],
        [1040.,  907.]]], dtype=float32),)"
560,[[4]],"(array([[[1042.,  803.],
        [1154.,  808.],
        [1150.,  915.],
        [1040.,  907.]]], dtype=float32),)"
601,[[4]],"(array([[[1042.,  803.],
        [1154.,  808.],
        [1150.,  915.],
        [1040.,  908.]]], dtype=float32),)"
641,[[4]],"(array([[[1042.,  802.],
        [1153.,  807.],
        [1150.,  914.],
        [1040.,  907.]]], dtype=float32),)"
681,[[4]],"(array([[[1041.,  802.],
        [1153.,  807.],
        [1149.,  914.],
        [1039.,  907.]]], dtype=float32),)"
721,[[4]],"(array([[[1042.,  802.],
        [1153.,  808.],
        [1150.,  914.],
        [1039.,  907.]]], dtype=float32),)"
761,[[4]],"(array([[[1041.,  803.],
        [1153.,  809.],
        [1149.,  915.],
        [1039.,  908.]]], dtype=float32),)"
801,[[4]],"(array([[[1041.,  804.],
        [1152.,  808.],
        [1148.,  916.],
        [1039.,  909.]]], dtype=float32),)"
841,[[4]],"(array([[[1041.,  804.],
        [1152.,  809.],
        [1149.,  916.],
        [1039.,  909.]]], dtype=float32),)"
881,[[4]],"(array([[[1040.,  804.],
        [1152.,  809.],
        [1148.,  916.],
        [1038.,  909.]]], dtype=float32),)"
921,[[4]],"(array([[[1040.,  804.],
        [1152.,  809.],
        [1149.,  915.],
        [1038.,  909.]]], dtype=float32),)"
961,[[4]],"(array([[[1040.,  803.],
        [1152.,  809.],
        [1148.,  915.],
        [1038.,  908.]]], dtype=float32),)"
1001,[[4]],"(array([[[1040.,  803.],
        [1152.,  807.],
        [1149.,  915.],
        [1038.,  908.]]], dtype=float32),)"
1042,[[4]],"(array([[[1041.,  803.],
        [1153.,  808.],
        [1149.,  914.],
        [1039.,  907.]]], dtype=float32),)"
1082,[[4]],"(array([[[1041.,  803.],
        [1153.,  808.],
        [1149.,  915.],
        [1039.,  908.]]], dtype=float32),)"
1122,[[4]],"(array([[[1041.,  803.],
        [1153.,  808.],
        [1149.,  915.],
        [1040.,  909.]]], dtype=float32),)"
1162,[[4]],"(array([[[1042.,  803.],
        [1153.,  807.],
        [1151.,  914.],
        [1040.,  908.]]], dtype=float32),)"
1202,[[4]],"(array([[[1042.,  803.],
        [1154.,  808.],
        [1151.,  914.],
        [1040.,  908.]]], dtype=float32),)"
1242,[[4]],"(array([[[1041.,  803.],
        [1153.,  807.],
        [1150.,  914.],
        [1040.,  908.]]], dtype=float32),)"
1282,"[[ 4]
 [17]]","(array([[[1041.,  803.],
        [1154.,  808.],
        [1150.,  915.],
        [1039.,  907.]]], dtype=float32), array([[[114., 885.],
        [114., 899.],
        [110., 891.],
        [110., 873.]]], dtype=float32))"
1322,[[4]],"(array([[[1042.,  803.],
        [1154.,  808.],
        [1150.,  915.],
        [1040.,  908.]]], dtype=float32),)"
