,aruco_IDs,aruco_Corners,Timestamps
0,[[4]],"(array([[[900., 761.],
        [995., 763.],
        [990., 857.],
        [896., 857.]]], dtype=float32),)",0
1,[[4]],"(array([[[900., 763.],
        [995., 764.],
        [990., 859.],
        [896., 858.]]], dtype=float32),)",40
2,[[4]],"(array([[[902., 761.],
        [997., 762.],
        [992., 856.],
        [898., 855.]]], dtype=float32),)",80
3,[[4]],"(array([[[904., 757.],
        [998., 759.],
        [994., 853.],
        [900., 852.]]], dtype=float32),)",120
4,[[4]],"(array([[[904., 755.],
        [999., 757.],
        [993., 851.],
        [900., 850.]]], dtype=float32),)",160
5,[[4]],"(array([[[903., 752.],
        [998., 755.],
        [992., 848.],
        [899., 846.]]], dtype=float32),)",200
6,[[4]],"(array([[[902., 750.],
        [997., 752.],
        [993., 845.],
        [899., 844.]]], dtype=float32),)",240
7,[[4]],"(array([[[901., 751.],
        [997., 752.],
        [993., 846.],
        [899., 845.]]], dtype=float32),)",280
8,[[4]],"(array([[[902., 753.],
        [998., 755.],
        [993., 849.],
        [899., 847.]]], dtype=float32),)",320
9,[[4]],"(array([[[903., 755.],
        [999., 757.],
        [994., 851.],
        [900., 850.]]], dtype=float32),)",360
10,[[4]],"(array([[[ 904.,  757.],
        [1000.,  760.],
        [ 995.,  853.],
        [ 900.,  851.]]], dtype=float32),)",400
11,[[4]],"(array([[[ 904.,  758.],
        [1000.,  761.],
        [ 995.,  854.],
        [ 900.,  853.]]], dtype=float32),)",440
12,[[4]],"(array([[[903., 758.],
        [999., 760.],
        [994., 853.],
        [899., 851.]]], dtype=float32),)",480
13,[[4]],"(array([[[903., 756.],
        [999., 758.],
        [994., 851.],
        [899., 849.]]], dtype=float32),)",521
14,[[4]],"(array([[[903., 753.],
        [999., 756.],
        [994., 849.],
        [900., 847.]]], dtype=float32),)",561
15,[[4]],"(array([[[903., 752.],
        [999., 754.],
        [994., 848.],
        [900., 846.]]], dtype=float32),)",601
16,[[4]],"(array([[[903., 752.],
        [999., 754.],
        [994., 847.],
        [900., 846.]]], dtype=float32),)",641
17,[[4]],"(array([[[902., 752.],
        [998., 754.],
        [993., 847.],
        [899., 846.]]], dtype=float32),)",681
18,[[4]],"(array([[[903., 752.],
        [998., 754.],
        [993., 848.],
        [899., 847.]]], dtype=float32),)",721
19,[[4]],"(array([[[902., 754.],
        [998., 756.],
        [993., 850.],
        [899., 848.]]], dtype=float32),)",761
20,[[4]],"(array([[[903., 755.],
        [999., 757.],
        [994., 851.],
        [900., 849.]]], dtype=float32),)",801
21,[[4]],"(array([[[903., 755.],
        [999., 757.],
        [994., 851.],
        [900., 849.]]], dtype=float32),)",841
22,[[4]],"(array([[[904., 754.],
        [999., 757.],
        [994., 850.],
        [899., 848.]]], dtype=float32),)",881
23,[[4]],"(array([[[902., 753.],
        [998., 755.],
        [992., 849.],
        [899., 847.]]], dtype=float32),)",921
24,[[4]],"(array([[[901., 750.],
        [997., 752.],
        [991., 846.],
        [898., 844.]]], dtype=float32),)",961
25,[[4]],"(array([[[902., 746.],
        [997., 748.],
        [993., 841.],
        [898., 839.]]], dtype=float32),)",1002
26,[[4]],"(array([[[902., 745.],
        [997., 747.],
        [992., 841.],
        [898., 839.]]], dtype=float32),)",1042
27,[[4]],"(array([[[900., 748.],
        [997., 751.],
        [991., 844.],
        [897., 842.]]], dtype=float32),)",1082
