x_A x_P y_A y_P d_A d_P FaceP_A FaceA_P
524.0 483.75 395.0 342.0 656.2063234698809 592.4488001390879 0.0 0.0
511.5 522.25 367.5 322.0 629.83342378552 613.5394136475313 0.0 0.0
511.0 531.25 367.0 319.0 629.1343258796169 619.6676339629328 0.0 0.0
511.0 532.25 366.0 318.5 628.5515094246454 620.268186527007 0.0 0.0
510.5 532.25 365.5 320.25 627.8542718386694 621.1690693342405 0.0 0.0
512.0 486.0 364.5 332.0 628.4937676001045 588.5792260681922 0.0 0.0
512.0 505.25 363.25 334.25 627.7696131256182 605.923487519021 0.0 0.0
512.0 525.0 362.5 338.25 627.3359678235806 624.535487166401 0.0 0.0
513.0 520.5 363.25 339.0 628.5855217054102 621.1672899058779 0.0 0.0
513.25 515.0 364.0 342.5 629.2232256678928 618.4912475820063 0.0 0.0
513.5 513.5 365.0 343.5 630.0058857547239 617.7984955228374 0.0 0.0
514.0 510.0 366.0 346.0 630.9928793208036 616.2921385187385 0.0 0.0
514.5 510.5 367.75 345.0 632.4162821007355 616.1455415575058 0.0 0.0
515.25 508.5 370.5 346.0 634.6295552742947 615.051484931914 0.0 0.0
529.5 509.0 397.0 346.5 661.8040035014149 615.746230872121 0.0 0.0
526.0 508.0 399.0 347.0 660.2098151345525 615.201592975831 0.0 0.0
526.0 507.5 399.0 347.0 660.2098151345525 614.7887848684294 0.0 0.0
525.0 508.0 399.5 346.5 659.7161573913613 614.9198489399234 0.0 0.0
525.25 507.0 400.0 346.0 660.2178318113638 613.8118604263036 0.0 0.0
524.75 508.0 400.0 344.5 659.8201507733725 613.795021773468 0.0 0.0
526.0 508.125 400.0 344.125 660.8146487480434 613.6880596815524 0.0 0.0
525.0 508.25 399.5 343.0 659.7160373979095 613.1615464604192 0.0 0.0
525.0 508.25 399.5 342.25 659.7160373979095 612.7426105841214 0.0 0.0
516.5 509.0 384.0 342.75 643.6463122247103 613.643712182768 0.0 0.0
519.0 509.0 370.5 343.0 637.6774025319629 613.7833493994441 0.0 0.0
520.0 510.25 368.5 342.25 637.3325159393229 614.4024445062346 0.0 0.0
521.0 512.0 367.5 341.5 637.5713685541408 615.4399458721505 0.0 0.0
520.5 512.0 366.5 341.5 636.586600550153 615.4399458721505 0.0 0.0
521.5 513.0 365.0 341.75 636.5435844373361 616.4106320317426 0.0 0.0
522.5 514.75 366.5 341.5 638.22380887092 617.7298117813891 0.0 0.0
532.0 515.5 388.5 341.0 658.7575102957217 618.0787377801735 0.0 0.0
527.5 516.5 392.5 341.0 657.5047528345327 618.9130196488995 0.0 0.0
526.75 518.0 393.25 341.75 657.3518785322028 620.5783225450494 0.0 0.0
524.25 518.75 394.25 342.5 655.950552598935 621.6171405775224 0.0 0.0
524.0 519.0 394.25 343.5 655.7507929148567 622.3772359647821 0.0 0.0
522.25 520.0 394.5 345.0 654.5040235616502 624.0392615853589 0.0 0.0
521.5 520.5 395.5 345.5 654.5098432101623 624.7324038838311 0.0 0.0
528.0 519.0 402.25 345.0 663.7691357447947 623.2062410006699 0.0 0.0
587.5 518.0 377.75 343.0 698.4636152023292 621.2672532815487 0.0 0.0
584.75 518.0 375.25 343.5 694.7990104004903 621.5435814508447 0.0 0.0
583.25 518.0 374.0 342.5 692.8611554351107 620.9914846047704 0.0 0.0
582.75 511.0 373.0 345.0 691.9008064568452 616.6006618082328 0.0 0.0
557.6428571428571 502.5 355.2142857142857 350.0 661.1686481230613 612.3776762217342 0.0 0.0
544.2142857142858 502.5 348.07142857142856 348.0 646.0086592926257 611.2401116704384 0.0 0.0
530.7857142857142 503.0 340.92857142857144 346.0 630.8486704621901 610.5120801425636 0.0 0.0
517.3571428571429 511.0 333.7857142857143 346.0 615.6886816317544 617.1306849326855 0.0 0.0
536.0 517.875 333.0 342.25 631.0814190252568 620.7521882269496 0.0 0.0
539.5 505.0 383.5 351.0 661.9179477418588 615.0023880417617 0.0 0.0
538.0 508.75 383.5 350.0 660.6957713783537 617.5191166453087 0.0 0.0
537.5 506.25 389.5 351.0 663.7895246924043 616.027795732581 0.0 0.0
540.0 507.75 390.5 349.5 666.4010056477946 616.4108078246147 0.0 0.0
540.0 507.0 390.5 350.5 666.4010910524185 616.3600683710982 0.0 0.0
555.0 507.75 388.5 351.0 677.575300402562 617.260951874937 0.0 0.0
576.0 508.0 387.0 351.0 693.9344349432445 617.4665982869033 0.0 0.0
576.5 509.0 390.5 350.5 696.3064493247725 618.0060028722901 0.0 0.0
576.5 509.25 391.5 351.25 696.867647131852 618.637635419092 0.0 0.0
577.0 509.25 393.0 350.75 698.1247530173858 618.3544396559319 0.0 0.0
581.5 509.75 399.0 350.25 705.2257936110325 618.4822114202772 0.0 0.0
584.125 509.75 404.5 350.75 710.511243427952 618.7654071834372 0.0 0.0
565.75 510.0 383.7142857142857 351.75 683.6144224611483 619.5386909766789 0.0 0.0
552.75 516.5 380.57142857142856 350.5 671.1429177322809 624.2187882059609 0.0 0.0
539.75 522.0 377.42857142857144 350.0 658.6714130034137 628.4775254533769 0.0 0.0
526.75 524.0 374.2857142857143 349.5 646.1999082745464 629.8621491833932 0.0 0.0
530.5 512.5 380.75 354.5 652.9940661559563 623.1585519793925 0.0 0.0
544.0 526.0 387.75 349.5 668.0478545390558 631.5269800797274 0.0 0.0
545.5 528.0 379.5 349.0 664.5282971176227 632.9178461696273 0.0 0.0
543.5 528.0 365.5 348.0 655.0201247362519 632.366982060259 0.0 0.0
546.25 528.0 361.0 346.5 654.7643152375242 631.542753897153 0.0 0.0
548.5 530.0 359.5 345.0 655.814436501325 632.3969721821873 0.0 0.0
542.5 532.0 361.25 348.5 651.7729152086175 635.9846106097455 0.0 0.0
539.0 533.0 369.75 347.0 653.6505187912253 636.002814642785 0.0 0.0
536.75 532.0 378.75 345.5 656.9300591887061 634.3457816777595 0.0 0.0
571.5 533.0 363.5 345.25 677.3083682910421 635.0484816558572 0.0 0.0
580.5 532.5 377.0 347.0 692.1786513604453 635.5833391152704 0.0 0.0
579.5 529.5 378.5 347.0 692.1579117215092 633.0725266657294 0.0 0.0
580.0 520.5 379.0 355.75 692.8508017599233 630.4612336136181 0.0 0.0
578.5 523.0 375.0 353.75 689.4107991611388 631.401852921982 0.0 0.0
584.0 523.0 379.0 352.75 696.201891758465 630.8421351830796 0.0 0.0
585.0 521.5 375.0 352.75 694.8740893140282 629.5989639290913 0.0 0.0
586.5 520.25 371.0 352.0 693.9908655352979 628.143405273046 0.0 0.0
587.0 517.75 366.5 354.0 692.0198189925977 627.2010333937412 0.0 0.0
587.5 516.75 363.0 354.5 690.5977556111749 626.658593261718 0.0 0.0
529.0 517.25 356.5 353.75 637.9150398581874 626.6475906750923 0.0 0.0
530.0 517.5 352.5 354.0 636.518913051169 626.9946172017748 0.0 0.0
529.5 518.0 351.0 354.0 635.2725792917556 627.407427106169 0.0 0.0
528.0 519.5 351.5 353.75 634.2999473658119 628.5056524809348 0.0 0.0
527.0 521.25 352.5 353.0 634.0236122527617 629.5325718113384 0.0 0.0
517.0 523.5 358.0 352.25 628.851302858394 630.9774554038196 0.0 0.0
516.5 525.25 360.0 351.0 629.5811450946509 631.7345817620892 0.0 0.0
515.0 526.75 361.5 350.5 629.2118721730792 632.7052154513048 0.0 0.0
