x_T x_A y_T y_A d_T d_A FaceA_T FaceT_A
554.25 -524.0 387.0 395.0 675.9900549280605 656.2063234698809 0.0 1.0
526.0 -511.5 357.0 367.5 635.7088245303462 629.83342378552 0.0 1.0
589.0 -511.0 436.25 367.0 732.9708906939632 629.1343258796169 0.0 1.0
496.0 -511.0 330.0 366.0 595.7530477731366 628.5515094246454 0.0 1.0
463.5 -510.5 329.5 365.5 568.7378912586079 627.8542718386694 0.0 1.0
568.0648148148148 -512.0 360.6296296296296 364.5 672.9417779502752 628.4937676001045 0.0 1.0
562.3240740740741 -512.0 351.14814814814815 363.25 663.3040700325689 627.7696131256182 0.0 1.0
556.5833333333333 -512.0 341.6666666666667 362.5 653.6663621148625 627.3359678235806 0.0 1.0
550.8425925925926 -513.0 332.1851851851852 363.25 644.0286541971562 628.5855217054102 0.0 1.0
545.1018518518518 -513.25 322.7037037037037 364.0 634.39094627945 629.2232256678928 0.0 1.0
539.3611111111111 -513.5 313.22222222222223 365.0 624.7532383617436 630.0058857547239 0.0 1.0
533.6203703703704 -514.0 303.74074074074076 366.0 615.1155304440373 630.9928793208036 0.0 1.0
527.8796296296296 -514.5 294.25925925925924 367.75 605.477822526331 632.4162821007355 0.0 1.0
522.1388888888889 -515.25 284.77777777777777 370.5 595.8401146086246 634.6295552742947 0.0 1.0
516.3981481481482 -529.5 275.2962962962963 397.0 586.2024066909182 661.8040035014149 0.0 1.0
510.6574074074074 -526.0 265.81481481481484 399.0 576.564698773212 660.2098151345525 0.0 1.0
504.91666666666663 -526.0 256.3333333333333 399.0 566.9269908555057 660.2098151345525 0.0 1.0
499.1759259259259 -525.0 246.85185185185185 399.5 557.2892829377993 659.7161573913613 0.0 1.0
493.4351851851852 -525.25 237.37037037037038 400.0 547.651575020093 660.2178318113638 0.0 1.0
450.5 -524.75 296.5 400.0 539.3179713869108 659.8201507733725 0.0 1.0
463.75 -526.0 310.5 400.0 558.1120543905795 660.8146487480434 0.0 1.0
469.5 -525.0 309.0 399.5 562.0642559190059 659.7160373979095 0.0 1.0
466.5 -525.0 307.5 399.5 558.735235018713 659.7160373979095 0.0 1.0
406.0 -516.5 295.5 384.0 502.1556887024588 643.6463122247103 0.0 1.0
482.875 -519.0 448.125 370.5 659.8535950440993 637.6774025319629 0.0 1.0
341.67073170731703 -520.0 395.75 368.5 523.2852869783367 637.3325159393229 0.0 1.0
348.3536585365854 -521.0 388.75 367.5 524.1310446563566 637.5713685541408 0.0 1.0
355.0365853658536 -520.5 381.75 366.5 524.9768023343765 636.586600550153 0.0 1.0
361.719512195122 -521.5 374.75 365.0 525.8225600123966 636.5435844373361 0.0 1.0
368.4024390243902 -522.5 367.75 366.5 526.6683176904166 638.22380887092 0.0 1.0
375.0853658536586 -532.0 360.75 388.5 527.5140753684366 658.7575102957217 0.0 1.0
381.7682926829268 -527.5 353.75 392.5 528.3598330464565 657.5047528345327 0.0 1.0
388.4512195121951 -526.75 346.75 393.25 529.2055907244765 657.3518785322028 0.0 1.0
395.1341463414634 -524.25 339.75 394.25 530.0513484024964 655.950552598935 0.0 1.0
401.8170731707317 -524.0 332.75 394.25 530.8971060805163 655.7507929148567 0.0 1.0
408.5 -522.25 325.75 394.5 531.7428637585363 654.5040235616502 0.0 1.0
415.1829268292683 -521.5 318.75 395.5 532.5886214365562 654.5098432101623 0.0 1.0
421.8658536585366 -528.0 311.75 402.25 533.4343791145761 663.7691357447947 0.0 1.0
428.5487804878049 -587.5 304.75 377.75 534.2801367925961 698.4636152023292 0.0 0.0
435.2317073170732 -584.75 297.75 375.25 535.125894470616 694.7990104004903 0.0 1.0
441.9146341463414 -583.25 290.75 374.0 535.9716521486359 692.8611554351107 0.0 1.0
448.5975609756098 -582.75 283.75 373.0 536.8174098266559 691.9008064568452 0.0 1.0
455.280487804878 -557.6428571428571 276.75 355.2142857142857 537.6631675046759 661.1686481230613 0.0 1.0
461.9634146341463 -544.2142857142858 269.75 348.07142857142856 538.508925182696 646.0086592926257 0.0 0.0
468.6463414634146 -530.7857142857142 262.75 340.92857142857144 539.3546828607159 630.8486704621901 0.0 0.0
475.3292682926829 -517.3571428571429 255.75 333.7857142857143 540.2004405387358 615.6886816317544 0.0 0.0
419.25 -536.0 321.25 333.0 528.3068857852624 631.0814190252568 0.0 1.0
479.5 -539.5 326.5 383.5 580.199112281646 661.9179477418588 0.0 1.0
516.0 -538.0 346.0 383.5 621.26798707085 660.6957713783537 0.0 1.0
502.0 -537.5 355.5 389.5 615.3606530553877 663.7895246924043 0.0 1.0
517.5833333333333 -540.0 318.33333333333337 390.5 607.6421324086853 666.4010056477946 0.0 1.0
511.9166666666667 -540.0 315.66666666666663 390.5 601.4193291632388 666.4010910524185 0.0 1.0
506.25 -555.0 313.0 388.5 595.1965259177923 677.575300402562 0.0 1.0
482.0 -576.0 306.5 387.0 571.2393482576032 693.9344349432445 0.0 1.0
