d_T d_A d_P
675.9900549280605 656.2063234698809 592.4488001390879
635.7088245303462 629.83342378552 613.5394136475313
732.9708906939632 629.1343258796169 619.6676339629328
595.7530477731366 628.5515094246454 620.268186527007
568.7378912586079 627.8542718386694 621.1690693342405
672.9417779502752 628.4937676001045 588.5792260681922
663.3040700325689 627.7696131256182 605.923487519021
653.6663621148625 627.3359678235806 624.535487166401
644.0286541971562 628.5855217054102 621.1672899058779
634.39094627945 629.2232256678928 618.4912475820063
624.7532383617436 630.0058857547239 617.7984955228374
615.1155304440373 630.9928793208036 616.2921385187385
605.477822526331 632.4162821007355 616.1455415575058
595.8401146086246 634.6295552742947 615.051484931914
586.2024066909182 661.8040035014149 615.746230872121
576.564698773212 660.2098151345525 615.201592975831
566.9269908555057 660.2098151345525 614.7887848684294
557.2892829377993 659.7161573913613 614.9198489399234
547.651575020093 660.2178318113638 613.8118604263036
539.3179713869108 659.8201507733725 613.795021773468
558.1120543905795 660.8146487480434 613.6880596815524
562.0642559190059 659.7160373979095 613.1615464604192
558.735235018713 659.7160373979095 612.7426105841214
502.1556887024588 643.6463122247103 613.643712182768
659.8535950440993 637.6774025319629 613.7833493994441
523.2852869783367 637.3325159393229 614.4024445062346
524.1310446563566 637.5713685541408 615.4399458721505
524.9768023343765 636.586600550153 615.4399458721505
525.8225600123966 636.5435844373361 616.4106320317426
526.6683176904166 638.22380887092 617.7298117813891
527.5140753684366 658.7575102957217 618.0787377801735
528.3598330464565 657.5047528345327 618.9130196488995
529.2055907244765 657.3518785322028 620.5783225450494
530.0513484024964 655.950552598935 621.6171405775224
530.8971060805163 655.7507929148567 622.3772359647821
531.7428637585363 654.5040235616502 624.0392615853589
532.5886214365562 654.5098432101623 624.7324038838311
533.4343791145761 663.7691357447947 623.2062410006699
534.2801367925961 698.4636152023292 621.2672532815487
535.125894470616 694.7990104004903 621.5435814508447
535.9716521486359 692.8611554351107 620.9914846047704
536.8174098266559 691.9008064568452 616.6006618082328
537.6631675046759 661.1686481230613 612.3776762217342
538.508925182696 646.0086592926257 611.2401116704384
539.3546828607159 630.8486704621901 610.5120801425636
540.2004405387358 615.6886816317544 617.1306849326855
528.3068857852624 631.0814190252568 620.7521882269496
580.199112281646 661.9179477418588 615.0023880417617
621.26798707085 660.6957713783537 617.5191166453087
615.3606530553877 663.7895246924043 616.027795732581
607.6421324086853 666.4010056477946 616.4108078246147
601.4193291632388 666.4010910524185 616.3600683710982
595.1965259177923 677.575300402562 617.260951874937
571.2393482576032 693.9344349432445 617.4665982869033
577.2228546080339 696.3064493247725 618.0060028722901
594.8032996359249 696.867647131852 618.637635419092
598.318456440548 698.1247530173858 618.3544396559319
576.1455937936433 705.2257936110325 618.4822114202772
567.5327904576401 710.511243427952 618.7654071834372
567.7885720907449 683.6144224611483 619.5386909766789
580.1940255182672 671.1429177322809 624.2187882059609
584.5025141408073 658.6714130034137 628.4775254533769
579.5715733995335 646.1999082745464 629.8621491833932
485.73465464585627 652.9940661559563 623.1585519793925
507.8401206624061 668.0478545390558 631.5269800797274
529.9455866789558 664.5282971176227 632.9178461696273
552.0510526955056 655.0201247362519 632.366982060259
568.8318099425121 654.7643152375242 631.542753897153
562.6043843831484 655.814436501325 632.3969721821873
