x_T x_A x_P
554.25 524.0 -483.75
526.0 511.5 -522.25
589.0 511.0 -531.25
496.0 511.0 -532.25
463.5 510.5 -532.25
568.0648148148148 512.0 -486.0
562.3240740740741 512.0 -505.25
556.5833333333333 512.0 -525.0
550.8425925925926 513.0 -520.5
545.1018518518518 513.25 -515.0
539.3611111111111 513.5 -513.5
533.6203703703704 514.0 -510.0
527.8796296296296 514.5 -510.5
522.1388888888889 515.25 -508.5
516.3981481481482 529.5 -509.0
510.6574074074074 526.0 -508.0
504.91666666666663 526.0 -507.5
499.1759259259259 525.0 -508.0
493.4351851851852 525.25 -507.0
450.5 524.75 -508.0
463.75 526.0 -508.125
469.5 525.0 -508.25
466.5 525.0 -508.25
406.0 516.5 -509.0
482.875 519.0 -509.0
341.67073170731703 520.0 -510.25
348.3536585365854 521.0 -512.0
355.0365853658536 520.5 -512.0
361.719512195122 521.5 -513.0
368.4024390243902 522.5 -514.75
375.0853658536586 532.0 -515.5
381.7682926829268 527.5 -516.5
388.4512195121951 526.75 -518.0
395.1341463414634 524.25 -518.75
401.8170731707317 524.0 -519.0
408.5 522.25 -520.0
415.1829268292683 521.5 -520.5
421.8658536585366 528.0 -519.0
428.5487804878049 587.5 -518.0
435.2317073170732 584.75 -518.0
441.9146341463414 583.25 -518.0
448.5975609756098 582.75 -511.0
455.280487804878 557.6428571428571 -502.5
461.9634146341463 544.2142857142858 -502.5
468.6463414634146 530.7857142857142 -503.0
475.3292682926829 517.3571428571429 -511.0
419.25 536.0 -517.875
479.5 539.5 -505.0
516.0 538.0 -508.75
502.0 537.5 -506.25
517.5833333333333 540.0 -507.75
511.9166666666667 540.0 -507.0
506.25 555.0 -507.75
482.0 576.0 -508.0
482.0 576.5 -509.0
502.0 576.5 -509.25
506.5 577.0 -509.25
454.5 581.5 -509.75
457.0 584.125 -509.75
460.75 565.75 -510.0
480.25 552.75 -516.5
490.75 539.75 -522.0
492.5 526.75 -524.0
416.59375 530.5 -512.5
442.96875 544.0 -526.0
469.34375 545.5 -528.0
495.71875 543.5 -528.0
507.0 546.25 -528.0
456.0 548.5 -530.0
325.42499999999995 542.5 -532.0
185.32500000000002 539.0 -533.0
45.22500000000002 536.75 -532.0
-94.87499999999997 571.5 -533.0
-234.97499999999997 580.5 -532.5
-374.5 579.5 -529.5
-531.0 580.0 -520.5
-495.0 578.5 -523.0
-453.0 584.0 -523.0
-447.0 585.0 -521.5
-462.5 586.5 -520.25
-454.5 587.0 -517.75
-455.0 587.5 -516.75
-455.5 529.0 -517.25
-455.5 530.0 -517.5
-454.5 529.5 -518.0
-454.5 528.0 -519.5
-453.5 527.0 -521.25
-451.0 517.0 -523.5
-485.0 516.5 -525.25
-523.0 515.0 -526.75
-536.5 512.0 -528.75
-543.0 530.0 -530.75
-542.0 530.0 -532.0
-540.5 529.5 -532.5
-528.5 529.0 -514.0
-525.0 529.0 -488.0
-552.0 528.5 -476.0
-571.5 527.5 -464.0
-574.0 529.0 -497.75
-585.0 536.5 -514.0
-580.5 547.5 -511.5
-584.0 548.0 -514.0
-587.0 536.5 -524.75
-584.5 529.5 -524.0
-584.0 532.5 -512.75
-584.0 537.5 -503.25
-584.0 537.0 -499.5
-582.5 534.5 -505.75
-583.0 536.0 -515.5
-597.5 541.0 -519.5
-569.0 541.5 -523.75
-574.0 534.0 -526.25
-565.0 528.0 -531.25
-561.5 525.0 -530.75
-541.5 524.0 -510.25
-515.5 508.5 -528.0
-504.5 504.0 -525.5
-508.0 504.0 -524.25
-520.0 503.5 -487.75
-524.5 504.0 -492.75
-528.5 505.0 -490.75
-534.5 506.0 -490.5
-523.25 506.5 -490.5
-522.25 508.5 -489.5
-521.25 517.5 -487.75
-540.0 517.5 -487.25
-545.0 518.5 -487.25
-577.5 519.0 -487.0
-576.5 519.5 -488.0
-611.0 510.5 -524.75
-595.5 509.0 -526.25
-583.5 508.5 -524.5
-559.5 508.5 -513.5
-563.0 516.5 -527.0
-602.0 523.0 -502.5357142857143
-643.0 523.5 -482.67857142857144
-476.0 522.5 -462.82142857142856
-477.0 522.0 -442.9642857142857
-396.0 521.5 -570.75
-443.33333333333337 521.5 -521.0
-478.66666666666663 520.0 -524.25
-486.5 518.0 -518.75
-509.0 503.5 -519.5
-598.4583333333333 504.0 -521.0
-540.2916666666667 503.5 -519.75
-482.125 503.0 -561.75
-477.0 503.0 -549.5
-697.5 511.0 -560.0
-658.5 518.5 -559.0
-583.5 517.0 -505.0
-703.5 517.0 -504.0
-705.0 515.5 -516.5
-669.0 512.5 -489.3928571428571
-575.5 510.5 -476.96428571428567
-541.5 508.5 -464.53571428571433
-536.5 508.0 -452.1071428571429
-527.0 467.35 -501.75
-517.0 480.75 -514.25
-518.0 494.15 -514.75
-517.0 507.0 -513.5
-517.0 510.5 -513.0
-514.5 516.5 -512.25
-521.5 520.0 -512.25
-486.0 519.0 -509.75
-512.0 516.5 -510.75
-509.5 517.0 -512.0
-510.0 516.0 -513.5
-510.5 517.0 -513.0
-511.5 517.0 -513.25
-532.0 519.5 -515.5
-532.5 521.5 -516.25
-540.0 522.5 -516.5
-544.5 511.0 -511.25
-547.5 507.5 -507.25
-553.0 507.5 -510.25
-640.5 507.5 -510.5
-708.0 509.5 -510.5
-705.5 520.5 -511.75
-708.5 519.0 -512.25
-706.0 518.5 -510.75
-599.25 518.5 -513.25
-547.5 517.5 -514.5
-616.0 516.5 -516.0
-604.0 516.5 -519.0
-566.95 514.5 -522.0
-422.75 512.5 -523.25
-278.55 512.5 -524.0
-519.0 512.5 -523.25
-650.5 514.5 -518.0
-642.5 519.5 -514.0
-654.0 525.0 -514.5
-768.0 570.5 -514.25
-447.70833333333337 595.0 -514.0
-440.54166666666663 592.5 -514.75
-433.375 591.5 -515.0
-427.5 589.0 -514.0
-473.0 575.5 -514.25
-530.5 549.875 -514.5
-584.5 524.375 -515.5
-572.5 508.5 -516.75
-588.5 492.0 -514.5
-578.0 542.5 -507.0
-574.0 537.0 -509.25
-570.0 537.5 -511.75
-544.5 533.0 -511.5
-537.5 528.5 -511.0
-556.5 528.5 -511.0
-556.5 527.5 -511.25
-603.5 528.0 -511.5
-567.5 549.0 -511.25
-570.0 592.5 -511.5
-578.5 581.0 -512.25
-579.0 573.0 -512.25
-580.0 560.5 -513.75
-561.5 554.0 -514.5
-569.0 507.5 -515.25
-573.5 488.0 -507.75
-578.5 476.0 -510.0
-600.0 470.0 -512.75
-610.5 465.0 -512.0
-650.5 540.0 -512.0
-595.0 541.5 -514.0
-653.0 541.0 -514.25
-635.5 541.5 -514.25
-617.0 542.5 -514.0
-694.0 542.5 -514.0
-742.0 601.5 -514.0
-783.0 591.0 -514.0
-714.0 588.0 -515.0
-620.0 586.0 -515.0
-512.0 541.5 -515.25
-556.0 517.5 -515.25
-529.0 518.0 -516.0
-530.5 518.0 -515.5
-531.0 518.5 -514.75
-536.5 510.0 -514.5
-539.0 526.5 -514.5
-559.0 540.0 -514.5
-579.0 540.0 -515.0
-577.5 541.5 -515.0
-578.0 541.5 -514.0
-580.0 541.5 -513.75
-581.0 541.0 -519.0
-583.0 538.5 -519.75
-584.5 596.5 -520.5
-572.5 590.0 -522.0
-525.5 591.5 -521.75
-536.5 581.5 -521.0
-537.5 628.2857142857142 -520.0
-536.0 636.0 -519.5
-536.5 643.7142857142858 -519.5
-539.5 637.5 -520.25
-538.0 550.5 -521.0
-538.0 545.0 -521.75
-536.5 560.5 -523.0
-537.5 552.0 -524.25
-538.0 508.5 -496.725
-563.0 510.5 -485.625
-562.0 511.25 -474.525
-557.5 512.25 -463.42499999999995
-554.5 515.75 -452.32500000000005
-555.0 517.25 -469.0
-554.0 590.5 -502.0
-552.75 578.5 -512.5
-592.75 583.25 -514.5
-666.25 584.25 -515.5
-692.5 581.5 -516.5
-705.25 581.5 -518.0
-713.0 579.0 -518.5
-632.25 546.0 -516.5
-577.75 513.25 -515.5
-556.75 516.5 -513.0
-539.0 521.5 -513.0
-535.25 526.5 -513.0
-539.5 544.0 -511.5
-541.5 557.75 -511.5
-541.5 556.25 -511.0
-541.0 551.0 -509.5
-541.0 548.5 -508.0
-540.5 551.25 -508.0
-538.0 552.0 -507.0
-535.5 551.5 -506.0
-533.5 551.5 -506.0
-537.25 553.25 -506.0
-570.5 555.0 -506.0
-576.875 586.5 -505.5
-578.0 606.5 -504.25
-578.0 608.5 -503.75
-575.0 609.5 -503.75
-574.0 609.0 -504.0
-572.5 581.0 -503.0
-567.5 566.5 -502.0
-619.0 567.5 -502.25
-721.5 567.5 -502.5
-851.75 567.5 -503.5
-652.0 536.0 -503.75
-638.625 531.0 -504.5
-625.5 528.0 -505.0
-621.0 526.5 -506.25
-618.5 526.5 -506.75
-602.5 540.0 -507.0
-637.0 539.5 -506.5
-602.0 539.0 -505.25
-604.5 540.0 -504.5
-603.0 541.0 -427.0
-604.0 541.0 -208.0
-606.0 543.0 161.625
-608.0 543.5 306.125
-601.5 540.5 450.625
-616.5 538.5 584.0
-617.0 524.5 636.0
-583.0 524.0 677.25
-580.0 523.5 667.25
-785.875 524.5 644.25
-649.55 523.5 650.25
-376.94999999999993 525.5 659.25
-380.5 532.0 646.75
-750.5 530.5 647.0
-596.0 529.0 648.5
-590.5 524.0 650.0
-580.0 526.0 647.5
-577.5 523.0 635.5
-576.0 523.5 598.0
-575.0 524.0 594.75
-571.0 524.0 592.75
-569.5 525.0 588.5
-573.0 525.5 634.5
-572.0 527.5 677.5
-572.0 527.5 674.25
-688.5 525.5 670.25
-689.0 526.0 673.0
-687.5 526.5 659.5
-685.5 527.0 653.75
-682.5 527.0 644.75
-679.5 527.0 640.5
-682.0 526.5 642.0
-665.5 514.0 652.5
-674.0 513.0 658.75
-579.0 514.0 665.75
-279.5 515.5 668.5
-250.5 520.0 666.5
-244.0 528.0 664.5
-245.5 527.5 661.75
-214.0 527.5 660.75
-246.0 526.0 659.75
-231.0 525.5 656.0
-228.5 526.0 662.5
-195.5 526.5 676.75
-90.5 525.5 649.0
3.0 523.5 618.0
37.5 520.5 657.75
63.5 522.5 662.5
51.5 523.5 646.25
-23.0 524.5 614.5
-53.5 522.5 359.75
-38.0 509.0 177.67857142857144
-17.0 508.5 -0.7499999999999716
-20.5 509.5 -179.1785714285714
-28.0 500.625 -394.5
-175.60000000000002 503.125 -476.5
-356.40000000000003 526.5 -485.25
-581.5 520.0 -488.75
-657.5 514.0 -491.75
-600.0 511.0 -493.0
-522.5 513.5 -493.25
-531.0 529.0 -495.0
-573.5 530.5 -495.5
-599.125 528.0 -494.5
-604.5 516.5 -493.5
-613.5 504.0 -492.75
-636.0 502.0 -507.0
-610.5 514.5 -522.75
