y_T y_A y_P
387.0 395.0 342.0
357.0 367.5 322.0
436.25 367.0 319.0
330.0 366.0 318.5
329.5 365.5 320.25
360.6296296296296 364.5 332.0
351.14814814814815 363.25 334.25
341.6666666666667 362.5 338.25
332.1851851851852 363.25 339.0
322.7037037037037 364.0 342.5
313.22222222222223 365.0 343.5
303.74074074074076 366.0 346.0
294.25925925925924 367.75 345.0
284.77777777777777 370.5 346.0
275.2962962962963 397.0 346.5
265.81481481481484 399.0 347.0
256.3333333333333 399.0 347.0
246.85185185185185 399.5 346.5
237.37037037037038 400.0 346.0
296.5 400.0 344.5
310.5 400.0 344.125
309.0 399.5 343.0
307.5 399.5 342.25
295.5 384.0 342.75
448.125 370.5 343.0
395.75 368.5 342.25
388.75 367.5 341.5
381.75 366.5 341.5
374.75 365.0 341.75
367.75 366.5 341.5
360.75 388.5 341.0
353.75 392.5 341.0
346.75 393.25 341.75
339.75 394.25 342.5
332.75 394.25 343.5
325.75 394.5 345.0
318.75 395.5 345.5
311.75 402.25 345.0
304.75 377.75 343.0
297.75 375.25 343.5
290.75 374.0 342.5
283.75 373.0 345.0
276.75 355.2142857142857 350.0
269.75 348.07142857142856 348.0
262.75 340.92857142857144 346.0
255.75 333.7857142857143 346.0
321.25 333.0 342.25
326.5 383.5 351.0
346.0 383.5 350.0
355.5 389.5 351.0
318.33333333333337 390.5 349.5
315.66666666666663 390.5 350.5
313.0 388.5 351.0
306.5 387.0 351.0
317.0 390.5 350.5
319.0 391.5 351.25
318.5 393.0 350.75
354.0 399.0 350.25
336.5 404.5 350.75
331.75 383.7142857142857 351.75
325.5 380.57142857142856 350.5
317.5 377.42857142857144 350.0
305.5 374.2857142857143 349.5
249.375 380.75 354.5
246.875 387.75 349.5
244.375 379.5 349.0
241.875 365.5 348.0
256.0 361.0 346.5
327.75 359.5 345.0
337.1 361.25 348.5
317.9 369.75 347.0
298.7 378.75 345.5
279.5 363.5 345.25
260.3 377.0 347.0
253.0 378.5 347.0
298.5 379.0 355.75
280.0 375.0 353.75
280.5 379.0 352.75
285.0 375.0 352.75
286.0 371.0 352.0
290.5 366.5 354.0
289.5 363.0 354.5
289.0 356.5 353.75
288.5 352.5 354.0
288.5 351.0 354.0
288.5 351.5 353.75
288.5 352.5 353.0
289.0 358.0 352.25
292.0 360.0 351.0
289.5 361.5 350.5
282.5 362.5 350.0
277.0 403.0 349.5
274.0 400.0 349.0
271.0 399.5 349.5
266.0 398.0 345.0
266.5 397.5 286.75
293.0 396.0 214.41666666666669
310.5 395.0 142.08333333333334
313.5 394.5 281.25
285.5 394.5 341.5
254.5 391.5 338.5
255.0 388.5 338.25
256.5 379.5 345.5
259.0 374.0 348.0
260.5 370.5 346.75
262.5 369.0 350.75
264.0 369.0 352.0
267.5 368.5 345.5
269.0 372.5 339.75
273.0 378.0 339.0
283.5 380.0 336.75
281.0 382.5 335.5
283.5 383.5 333.5
288.0 381.0 331.0
289.5 383.5 327.5
284.0 371.5 327.5
278.0 362.5 325.0
276.5 363.0 324.25
275.5 364.0 326.75
277.0 363.0 331.0
275.5 361.5 331.0
278.0 362.0 330.5
257.2916666666667 364.0 329.0
230.45833333333331 366.0 328.5
203.625 378.5 328.25
206.5 382.0 328.25
285.5 387.0 328.25
329.0 389.5 328.5
328.5 390.0 327.0
292.0 375.0 311.0
284.0 369.0 308.25
274.0 365.5 306.75
318.0 363.5 308.0
299.0 379.5 303.0
214.5 394.0 300.4642857142857
169.0 395.0 292.32142857142856
269.0 396.0 284.17857142857144
261.0 396.0 276.0357142857143
216.0 396.0 304.75
222.33333333333331 395.5 326.25
229.66666666666669 394.5 331.0
233.5 392.0 331.75
235.5 356.5 333.5
306.75 357.5 332.25
259.75 359.0 332.5
212.75 361.0 324.5
223.0 363.0 331.0
335.5 375.5 323.25
332.5 389.0 319.5
309.5 384.5 340.5
277.5 377.5 338.75
282.0 366.5 333.25
292.5 352.5 324.17857142857144
271.0 338.0 302.8928571428571
312.0 331.0 281.6071428571429
310.0 338.0 260.32142857142856
309.0 263.4 326.75
310.5 273.0 336.25
312.5 282.6 334.5
313.5 371.5 337.75
312.0 395.5 341.0
312.0 382.0 341.25
289.0 376.5 340.75
275.0 383.0 337.5
291.5 393.0 336.0
266.0 404.0 336.0
265.0 410.5 335.0
262.0 413.0 333.0
258.0 412.0 332.25
216.0 405.5 335.5
218.5 394.5 334.75
226.0 391.0 333.75
218.0 372.0 323.5
206.0 365.5 318.5
204.5 366.5 317.0
288.0 366.0 315.0
256.5 369.5 315.5
255.5 396.0 314.75
310.5 397.0 314.75
309.5 397.0 315.25
307.75 397.5 315.25
274.5 397.0 314.5
300.5 397.0 313.5
249.5 398.0 313.0
260.20833333333337 401.0 312.0
289.04166666666663 405.0 311.5
317.875 410.5 310.5
340.0 416.0 311.5
378.0 423.5 317.0
263.5 434.0 331.5
274.5 443.0 334.25
308.5 435.5 335.0
333.54166666666663 423.0 334.25
287.70833333333337 431.0 334.0
241.875 432.5 333.5
232.5 425.0 333.0
299.5 380.0 333.25
309.0 331.25 334.0
307.5 316.25 335.0
288.0 375.5 336.5
288.5 403.5 333.75
262.625 417.0 321.75
230.79166666666669 417.5 319.75
198.95833333333334 416.0 317.75
189.5 407.0 316.75
230.5 400.0 315.5
280.5 396.5 314.75
288.0 394.0 313.5
328.0 390.0 313.5
348.5 389.0 313.75
331.0 390.5 313.0
362.5 379.0 313.25
310.0 371.0 313.5
310.0 360.0 313.5
305.0 354.0 313.75
312.0 356.0 314.5
322.5 349.0 318.5
258.5 347.0 322.5
264.5 349.0 325.0
267.0 352.0 327.75
273.5 414.5 329.0
269.0 417.0 332.25
272.5 420.5 332.25
263.5 423.0 332.75
263.5 423.5 332.0
274.0 424.0 330.0
309.0 406.5 330.5
240.0 398.0 331.0
218.0 397.5 331.0
258.5 395.5 331.0
285.0 377.0 332.0
360.0 368.0 332.0
248.0 367.5 332.0
246.5 367.0 332.0
248.0 368.0 332.25
249.5 368.5 332.5
254.0 383.0 332.5
277.5 411.5 333.5
296.0 413.0 333.5
292.0 417.5 332.75
291.5 422.0 331.75
294.0 426.5 333.0
294.5 428.5 335.25
295.5 425.5 332.25
297.5 392.5 331.0
279.5 371.5 327.0
322.0 358.5 325.25
322.0 281.5 323.5
320.5 230.85714285714286 322.25
321.5 214.0 322.75
321.5 197.14285714285717 324.0
322.0 194.5 324.25
321.0 277.0 324.5
321.5 316.5 325.0
321.5 339.0 325.0
321.0 359.5 325.0
322.5 373.5 325.3
282.0 376.5 320.5
287.5 379.75 315.7
285.5 379.5 310.9
285.0 374.75 306.1
283.5 371.25 307.5
284.5 371.0 330.5
285.25 364.0 340.0
