x_T x_P y_T y_P d_T d_P FaceP_T FaceT_P
554.25 483.75 387.0 342.0 675.9900549280605 592.4488001390879 0.0 1.0
526.0 522.25 357.0 322.0 635.7088245303462 613.5394136475313 0.0 1.0
589.0 531.25 436.25 319.0 732.9708906939632 619.6676339629328 0.0 1.0
496.0 532.25 330.0 318.5 595.7530477731366 620.268186527007 0.0 1.0
463.5 532.25 329.5 320.25 568.7378912586079 621.1690693342405 0.0 1.0
568.0648148148148 486.0 360.6296296296296 332.0 672.9417779502752 588.5792260681922 0.0 1.0
562.3240740740741 505.25 351.14814814814815 334.25 663.3040700325689 605.923487519021 0.0 1.0
556.5833333333333 525.0 341.6666666666667 338.25 653.6663621148625 624.535487166401 0.0 1.0
550.8425925925926 520.5 332.1851851851852 339.0 644.0286541971562 621.1672899058779 0.0 1.0
545.1018518518518 515.0 322.7037037037037 342.5 634.39094627945 618.4912475820063 0.0 1.0
539.3611111111111 513.5 313.22222222222223 343.5 624.7532383617436 617.7984955228374 0.0 1.0
533.6203703703704 510.0 303.74074074074076 346.0 615.1155304440373 616.2921385187385 0.0 1.0
527.8796296296296 510.5 294.25925925925924 345.0 605.477822526331 616.1455415575058 0.0 1.0
522.1388888888889 508.5 284.77777777777777 346.0 595.8401146086246 615.051484931914 0.0 1.0
516.3981481481482 509.0 275.2962962962963 346.5 586.2024066909182 615.746230872121 0.0 1.0
510.6574074074074 508.0 265.81481481481484 347.0 576.564698773212 615.201592975831 0.0 1.0
504.91666666666663 507.5 256.3333333333333 347.0 566.9269908555057 614.7887848684294 0.0 1.0
499.1759259259259 508.0 246.85185185185185 346.5 557.2892829377993 614.9198489399234 0.0 1.0
493.4351851851852 507.0 237.37037037037038 346.0 547.651575020093 613.8118604263036 0.0 1.0
450.5 508.0 296.5 344.5 539.3179713869108 613.795021773468 0.0 1.0
463.75 508.125 310.5 344.125 558.1120543905795 613.6880596815524 1.0 1.0
469.5 508.25 309.0 343.0 562.0642559190059 613.1615464604192 1.0 1.0
466.5 508.25 307.5 342.25 558.735235018713 612.7426105841214 1.0 1.0
406.0 509.0 295.5 342.75 502.1556887024588 613.643712182768 0.0 1.0
482.875 509.0 448.125 343.0 659.8535950440993 613.7833493994441 0.0 1.0
341.67073170731703 510.25 395.75 342.25 523.2852869783367 614.4024445062346 0.0 1.0
348.3536585365854 512.0 388.75 341.5 524.1310446563566 615.4399458721505 0.0 1.0
355.0365853658536 512.0 381.75 341.5 524.9768023343765 615.4399458721505 0.0 1.0
361.719512195122 513.0 374.75 341.75 525.8225600123966 616.4106320317426 0.0 1.0
368.4024390243902 514.75 367.75 341.5 526.6683176904166 617.7298117813891 0.0 1.0
375.0853658536586 515.5 360.75 341.0 527.5140753684366 618.0787377801735 0.0 1.0
381.7682926829268 516.5 353.75 341.0 528.3598330464565 618.9130196488995 0.0 1.0
388.4512195121951 518.0 346.75 341.75 529.2055907244765 620.5783225450494 0.0 1.0
395.1341463414634 518.75 339.75 342.5 530.0513484024964 621.6171405775224 0.0 1.0
401.8170731707317 519.0 332.75 343.5 530.8971060805163 622.3772359647821 0.0 1.0
408.5 520.0 325.75 345.0 531.7428637585363 624.0392615853589 0.0 1.0
415.1829268292683 520.5 318.75 345.5 532.5886214365562 624.7324038838311 0.0 1.0
421.8658536585366 519.0 311.75 345.0 533.4343791145761 623.2062410006699 0.0 1.0
428.5487804878049 518.0 304.75 343.0 534.2801367925961 621.2672532815487 0.0 1.0
435.2317073170732 518.0 297.75 343.5 535.125894470616 621.5435814508447 0.0 1.0
441.9146341463414 518.0 290.75 342.5 535.9716521486359 620.9914846047704 0.0 1.0
448.5975609756098 511.0 283.75 345.0 536.8174098266559 616.6006618082328 0.0 1.0
455.280487804878 502.5 276.75 350.0 537.6631675046759 612.3776762217342 0.0 1.0
461.9634146341463 502.5 269.75 348.0 538.508925182696 611.2401116704384 0.0 1.0
468.6463414634146 503.0 262.75 346.0 539.3546828607159 610.5120801425636 0.0 1.0
475.3292682926829 511.0 255.75 346.0 540.2004405387358 617.1306849326855 0.0 1.0
419.25 517.875 321.25 342.25 528.3068857852624 620.7521882269496 0.0 1.0
479.5 505.0 326.5 351.0 580.199112281646 615.0023880417617 0.0 1.0
516.0 508.75 346.0 350.0 621.26798707085 617.5191166453087 0.0 1.0
502.0 506.25 355.5 351.0 615.3606530553877 616.027795732581 0.0 1.0
517.5833333333333 507.75 318.33333333333337 349.5 607.6421324086853 616.4108078246147 0.0 1.0
511.9166666666667 507.0 315.66666666666663 350.5 601.4193291632388 616.3600683710982 0.0 1.0
506.25 507.75 313.0 351.0 595.1965259177923 617.260951874937 0.0 1.0
482.0 508.0 306.5 351.0 571.2393482576032 617.4665982869033 0.0 1.0
482.0 509.0 317.0 350.5 577.2228546080339 618.0060028722901 0.0 1.0
502.0 509.25 319.0 351.25 594.8032996359249 618.637635419092 1.0 1.0
506.5 509.25 318.5 350.75 598.318456440548 618.3544396559319 1.0 1.0
454.5 509.75 354.0 350.25 576.1455937936433 618.4822114202772 0.0 1.0
457.0 509.75 336.5 350.75 567.5327904576401 618.7654071834372 1.0 1.0
