speech_interval_msec,speaker_label,speech_T,speech_P,speech_A
"[0, 1500]",3,1,0,0
"[1500, 2000]",1,0,0,1
"[2000, 7500]",3,1,0,0
"[7500, 8500]",1,0,0,1
"[8500, 9000]",2,0,1,0
"[9000, 12000]",3,1,0,0
"[12000, 13000]",1,0,0,1
"[13000, 19000]",3,1,0,0
"[19000, 20000]",1,0,0,1
"[20000, 21000]",2,0,1,0
"[21000, 22500]",3,1,0,0
"[22500, 23500]",1,0,0,1
"[23500, 25000]",2,0,1,0
"[25000, 26000]",3,1,0,0
"[26000, 27000]",1,0,0,1
"[27000, 28500]",2,0,1,0
"[28500, 31500]",1,0,0,1
"[31500, 34000]",2,0,1,0
"[34000, 34500]",3,1,0,0
"[34500, 34500]",1,0,0,1
"[34500, 35500]",3,1,0,0
"[35500, 36500]",2,0,1,0
"[36500, 37000]",1,0,0,1
"[37000, 39000]",2,0,1,0
"[39000, 40000]",1,0,0,1
"[40000, 40000]",3,1,0,0
"[40000, 41500]",2,0,1,0
"[41500, 44000]",3,1,0,0
"[44000, 46000]",1,0,0,1
"[46000, 47000]",3,1,0,0
"[47000, 48500]",2,0,1,0
"[48500, 49000]",1,0,0,1
"[49000, 49000]",2,0,1,0
"[49000, 51500]",3,1,0,0
"[51500, 53500]",2,0,1,0
"[53500, 54000]",3,1,0,0
"[54000, 56000]",1,0,0,1
"[56000, 57000]",2,0,1,0
"[57000, 57500]",3,1,0,0
"[57500, 58000]",1,0,0,1
"[58000, 59500]",2,0,1,0
"[59500, 60500]",1,0,0,1
"[60500, 61000]",3,1,0,0
"[61000, 61500]",2,0,1,0
"[61500, 62000]",3,1,0,0
"[62000, 63000]",1,0,0,1
"[63000, 63000]",2,0,1,0
"[63000, 63000]",3,1,0,0
"[63000, 64500]",2,0,1,0
"[64500, 65500]",3,1,0,0
"[65500, 66000]",1,0,0,1
"[66000, 68000]",3,1,0,0
"[68000, 69500]",2,0,1,0
"[69500, 70000]",1,0,0,1
"[70000, 72500]",3,1,0,0
"[72500, 73500]",1,0,0,1
"[73500, 75000]",2,0,1,0
"[75000, 75000]",1,0,0,1
"[75000, 76000]",2,0,1,0
"[76000, 77500]",3,1,0,0
"[77500, 78000]",1,0,0,1
"[78000, 82000]",3,1,0,0
"[82000, 83000]",1,0,0,1
"[83000, 83500]",2,0,1,0
"[83500, 85500]",3,1,0,0
"[85500, 86500]",1,0,0,1
"[86500, 87000]",2,0,1,0
"[87000, 88500]",3,1,0,0
"[88500, 89500]",2,0,1,0
"[89500, 92000]",3,1,0,0
"[92000, 93500]",1,0,0,1
"[93500, 94500]",3,1,0,0
"[94500, 95500]",1,0,0,1
"[95500, 96500]",2,0,1,0
"[96500, 97000]",3,1,0,0
"[97000, 99000]",2,0,1,0
"[99000, 100000]",1,0,0,1
"[100000, 101000]",2,0,1,0
"[101000, 103000]",1,0,0,1
"[103000, 103000]",3,1,0,0
"[103000, 105500]",1,0,0,1
"[105500, 106500]",2,0,1,0
"[106500, 109000]",3,1,0,0
"[109000, 110500]",2,0,1,0
"[110500, 112500]",3,1,0,0
"[112500, 113000]",1,0,0,1
"[113000, 115500]",3,1,0,0
"[115500, 116000]",1,0,0,1
"[116000, 117500]",3,1,0,0
"[117500, 118000]",2,0,1,0
"[118000, 119000]",3,1,0,0
"[119000, 120000]",2,0,1,0
"[120000, 121000]",1,0,0,1
"[121000, 123000]",3,1,0,0
"[123000, 124000]",2,0,1,0
"[124000, 125500]",1,0,0,1
"[125500, 128500]",3,1,0,0
"[128500, 129500]",1,0,0,1
"[129500, 130500]",2,0,1,0
"[130500, 135500]",3,1,0,0
"[135500, 136500]",1,0,0,1
"[136500, 139000]",3,1,0,0
"[139000, 139500]",2,0,1,0
"[139500, 140500]",3,1,0,0
"[140500, 141500]",1,0,0,1
"[141500, 142000]",2,0,1,0
"[142000, 142500]",1,0,0,1
"[142500, 143000]",2,0,1,0
"[143000, 144000]",3,1,0,0
"[144000, 145000]",1,0,0,1
"[145000, 147500]",2,0,1,0
"[147500, 152000]",3,1,0,0
"[152000, 152500]",1,0,0,1
"[152500, 157000]",3,1,0,0
"[157000, 158000]",2,0,1,0
"[158000, 161000]",1,0,0,1
"[161000, 162500]",2,0,1,0
"[162500, 165500]",1,0,0,1
"[165500, 166500]",2,0,1,0
"[166500, 168000]",1,0,0,1
"[168000, 168500]",2,0,1,0
"[168500, 171500]",3,1,0,0
"[171500, 172000]",1,0,0,1
"[172000, 173500]",2,0,1,0
"[173500, 174500]",1,0,0,1
"[174500, 175500]",2,0,1,0
"[175500, 176500]",3,1,0,0
"[176500, 177500]",2,0,1,0
"[177500, 178000]",1,0,0,1
"[178000, 181000]",3,1,0,0
"[181000, 182500]",1,0,0,1
"[182500, 183000]",2,0,1,0
"[183000, 185000]",3,1,0,0
"[185000, 186000]",1,0,0,1
"[186000, 187500]",3,1,0,0
"[187500, 189000]",1,0,0,1
"[189000, 190500]",2,0,1,0
"[190500, 194000]",1,0,0,1
"[194000, 195000]",3,1,0,0
"[195000, 198000]",1,0,0,1
"[198000, 198500]",2,0,1,0
"[198500, 199000]",1,0,0,1
"[199000, 201000]",3,1,0,0
"[201000, 202000]",2,0,1,0
"[202000, 204500]",1,0,0,1
"[204500, 206000]",2,0,1,0
"[206000, 207000]",1,0,0,1
"[207000, 208000]",2,0,1,0
"[208000, 209500]",3,1,0,0
"[209500, 212500]",2,0,1,0
"[212500, 213500]",1,0,0,1
"[213500, 214500]",3,1,0,0
"[214500, 215000]",1,0,0,1
"[215000, 216000]",3,1,0,0
"[216000, 216500]",1,0,0,1
"[216500, 217500]",2,0,1,0
"[217500, 218000]",1,0,0,1
"[218000, 219000]",2,0,1,0
"[219000, 219500]",1,0,0,1
